epoch,timestamp,learning_rate,epoch_time,train_time,inference_time,avg_train_loss,avg_accuracy,avg_f1_score,avg_dice,avg_iou,avg_mae,avg_mae_std
52,2026-05-09T14:10:13.762668,6.522732493394437e-06,1223.433914422989,986.3204894065857,237.10505867004395,-0.6510722315045693,0.8510652175022393,0.8366366286565701,0.9032983819985204,0.7730826536814371,4.599369982341238,0.4322036957103701
53,2026-05-09T14:30:39.612601,6.187090252474307e-06,1223.148729801178,985.2317929267883,237.9088170528412,-0.6523887380926662,0.8485987156835473,0.8330903522540816,0.902498512387104,0.7716091076532999,4.575159246017926,0.42337026868867317
54,2026-05-09T14:51:03.166964,5.858098205778928e-06,1223.449615240097,986.5745310783386,236.86690974235535,-0.6508339667060069,0.8619068400106461,0.8472110379250741,0.9029547721567629,0.7716372211774191,4.606294321074253,0.41420103489109383
55,2026-05-09T15:11:29.398568,5.536263635198488e-06,1223.7482330799103,986.9768497943878,236.7632908821106,-0.6627185894415767,0.8595409422880367,0.8447222184673683,0.903333006264361,0.772218664487203,4.604987031273973,0.4302978732377518
56,2026-05-09T15:31:52.449233,5.2220827863137795e-06,1222.9603786468506,985.7462742328644,237.20622777938843,-0.6693709626829135,0.847617650094881,0.8323844930476492,0.9029920829133435,0.7722014387448629,4.576419736749764,0.4228656703454976
57,2026-05-09T15:52:14.823166,4.916040103221507e-06,1222.2821726799011,985.9027001857758,236.37148308753967,-0.6745597750320543,0.860901165500357,0.8454811244808373,0.9032036607881397,0.7731096148490906,4.578002584181876,0.42364263411633285
58,2026-05-09T16:12:35.995000,4.618607481556581e-06,1221.0794160366058,984.9353675842285,236.13633823394775,-0.6765581435950716,0.8451167439972845,0.8301127912989333,0.9033091301708952,0.7749281724294027,4.582685373506262,0.4234879965818877
59,2026-05-09T16:32:58.551315,4.3302435408632575e-06,1222.4578785896301,985.436470746994,237.0132884979248,-0.6808035142769144,0.8506789488705893,0.8354987503208002,0.903105388455451,0.771914521853129,4.600990199627621,0.43400269320753976
60,2026-05-09T16:53:20.806243,4.051392917437057e-06,1222.1572124958038,985.8840107917786,236.26532554626465,-0.6828883595037256,0.8506563631162509,0.8351847784684503,0.9031134029390979,0.7734007835388184,4.549509604608068,0.425069679948684
61,2026-05-09T17:13:44.440278,3.7824855787278e-06,1223.5364925861359,986.284068107605,237.2444612979889,-0.686071653651327,0.8500769622312386,0.8344361044008579,0.9030242554880866,0.7740945219993591,4.574684660600736,0.43406715257903183
62,2026-05-09T17:34:08.292015,3.523936160360987e-06,1223.7535548210144,986.6367564201355,237.1087417602539,-0.6894349686567578,0.8467226134083299,0.8311236273705832,0.9038812667263666,0.7737114826838175,4.592020947141147,0.43618143145551697
63,2026-05-09T17:54:31.986419,3.276143326799707e-06,1223.4181323051453,986.1498234272003,237.26026153564453,-0.693903549379241,0.8499839176191971,0.8344873201405538,0.9039616585115304,0.774195392926534,4.628389433750764,0.42683480662759515
64,2026-05-09T18:14:53.489549,3.039489156632923e-06,1221.4000515937805,984.5497014522552,236.8425850868225,-0.6936197985762509,0.8462829343483439,0.8310148150015633,0.9040775313844375,0.772947629292806,4.6301388939166035,0.42682674881776766
65,2026-05-09T18:35:18.105469,2.8143385534380015e-06,1224.5147848129272,986.3941860198975,238.11212491989136,-0.6977919979338593,0.8499482445092938,0.8344232711678627,0.9036865386583698,0.7737417817115784,4.591790460327149,0.4321260043306487
66,2026-05-09T18:55:42.057993,2.6010386831258233e-06,1223.831077337265,986.1934530735016,237.6289873123169,-0.6987940846015758,0.8523879290160263,0.8371364495288728,0.9036485990499133,0.7704740365346273,4.593036588408349,0.42679913240454215
67,2026-05-09T19:16:03.560942,2.399918438636125e-06,1221.3987219333649,985.0934100151062,236.29709672927856,-0.6981785182415355,0.848289775815176,0.8326043163023369,0.9036568355226012,0.7745376030604044,4.604157356673766,0.42255099822800063
68,2026-05-09T19:36:26.741959,2.2112879328084296e-06,1223.0772259235382,985.8355007171631,237.23354172706604,-0.7030150526282652,0.847385005441414,0.8316933213387094,0.9034826462465527,0.7711966633796692,4.625509517394297,0.44109419526678756
69,2026-05-09T19:56:50.148113,2.0354380202105066e-06,1223.2982079982758,986.2063326835632,237.0837664604187,-0.7059935306226005,0.8483423185631251,0.832836713275485,0.9040037629859506,0.7760915358861288,4.623906035337454,0.42745471997596524
70,2026-05-09T20:17:13.524549,1.8726398486617278e-06,1223.2673516273499,985.7139081954956,237.54520201683044,-0.7095747959449177,0.8445123197893579,0.8296924873737008,0.9036717159701437,0.7744268178939819,4.636312452511174,0.43392765436075154
71,2026-05-09T20:37:36.866628,1.7231444411427765e-06,1223.2270066738129,986.5469131469727,236.67190027236938,-0.7109797276384929,0.8484546218462344,0.8330124530099873,0.9039227235192503,0.7720874150594076,4.602316610334619,0.43184295704491493
72,2026-05-09T20:57:59.741856,1.587182308736401e-06,1222.7604994773865,986.2609972953796,236.49132752418518,-0.7082878270370576,0.8447657603457966,0.8299462035661157,0.9039519571472835,0.7745477358500162,4.686837032675608,0.42238186518229576
73,2026-05-09T21:18:22.853013,1.4649630951960418e-06,1223.0011940002441,985.8719730377197,237.12131142616272,-0.7103365483457337,0.8440828774814975,0.8290946851057921,0.9038958834521589,0.7749685049057007,4.596135027703175,0.4250784687184535
74,2026-05-09T21:38:45.907883,1.3566752536903522e-06,1222.9424030780792,984.9042890071869,238.02998423576355,-0.7136490383324324,0.8465359280149978,0.8314555921071549,0.9039711329061783,0.7741575241088867,4.586654957541567,0.4237519004515538
75,2026-05-09T21:59:08.673826,1.2624857562220728e-06,1222.6467044353485,985.8821470737457,236.756596326828,-0.7124427604817982,0.8477317214985058,0.8325427069396805,0.9037915268293677,0.775332490603129,4.608138193441536,0.42443546149552097
76,2026-05-09T22:19:32.787530,1.1825398361693109e-06,1223.994478225708,986.2910752296448,237.69528555870056,-0.7173273136080117,0.8459538634950413,0.8310284835220373,0.9039410986465929,0.7752737800280253,4.596491254217101,0.42162869536965
77,2026-05-09T22:39:57.505279,1.1169607643461921e-06,1224.5949432849884,986.655989408493,237.93107676506042,-0.7110070779442326,0.8515269233260815,0.8368495589034806,0.9038394810098792,0.7762871583302816,4.583261873884037,0.42210226312027127
78,2026-05-09T23:00:20.973833,1.0658496589282e-06,1223.3471236228943,985.6829540729523,237.65607070922852,-0.7167561558867442,0.8514743142442958,0.8366245271951024,0.9038554163514328,0.7770769596099854,4.59611388990204,0.4165580309201266
79,2026-05-09T23:20:44.639014,1.0292853295352842e-06,1223.5112392902374,986.3735432624817,237.12985348701477,-0.7167269025524428,0.849753938874583,0.8351467340251583,0.9039084129344394,0.7760434945424398,4.633950801157746,0.4117190493697079
80,2026-05-09T23:41:07.930789,1.0073241557131324e-06,1223.1732499599457,986.6335344314575,236.53166937828064,-0.7169279563526153,0.8489066348403712,0.8342817880712123,0.9040108600639737,0.7752850453058878,4.600153434716523,0.4213666450674814
